name,description,address,city,country,latitude,longitude,checkInTime,checkOutTime,ownerEmail,imageUrl
Hôtel Riviera Nice,"Inspiré de l'établissement « Hôtel du Couvent » (Nice). Établissement 5 étoiles face à la Promenade des Anglais, avec rooftop, piscine et petit-déjeuner buffet méditerranéen.",15 Promenade des Anglais,Nice,France,43.6976,7.2786,15:00,11:00,sophie.martin@example.com,https://picsum.photos/seed/hotel-riviera-nice/1200/800
Le Grand Lyon,"Inspiré de l'établissement « The Ruck Hotel » (Lyon 7e Arrondissement). Hôtel urbain 3 étoiles proche de la gare Part-Dieu et du centre historique, idéal pour voyages d'affaires.",22 Rue de la République,Lyon,France,45.7256,4.8312,14:00,12:00,lucas.bernard@example.com,https://picsum.photos/seed/hotel-grand-lyon/1200/800
Maison Bordeaux,"Inspiré de l'établissement « Campanile » (Gradignan). Chambre d'hôtes de charme dans le quartier Saint-Pierre, jardin privatif et dégustations de vins bordelais.",8 Cours du Chapeau Rouge,Bordeaux,France,44.7901,-0.6031,16:00,10:00,emma.dubois@example.com,https://picsum.photos/seed/hotel-maison-bordeaux/1200/800
Paris Étoile,"Inspiré de l'établissement « Easy hôtel » (Aubervilliers). Hôtel 4 étoiles à deux pas des Champs-Élysées, service conciergerie et chambres soundproof.",40 Avenue Kléber,Paris,France,48.9062,2.3665,15:00,11:00,hugo.thomas@example.com,https://picsum.photos/seed/hotel-paris-etoile/1200/800
Marseille Vieux-Port,"Inspiré de l'établissement « Hôtel Beauvau » (Marseille 1er Arrondissement). Hôtel boutique sur le Vieux-Port avec vue mer, restaurant de poissons et accès ferry.",3 Quai du Port,Marseille,France,43.295,5.3748,15:00,11:00,chloe.robert@example.com,https://picsum.photos/seed/hotel-marseille-vieux-port/1200/800
Toulouse Canal,"Inspiré de l'établissement « Zenitude Hôtel-Résidences Le Parc de l’Escale » (Toulouse). Hôtel design le long du canal du Midi, parking sécurisé et bar lounge.",12 Allée Jean Jaurès,Toulouse,France,43.6058,1.3583,14:00,11:00,louis.richard@example.com,https://picsum.photos/seed/hotel-toulouse-canal/1200/800
Nantes Loire,"Inspiré de l'établissement « La Terrasse » (Rezé). Hôtel 4 étoiles en bord de Loire, spa et salle de fitness, centre piéton à 5 minutes.",5 Quai de la Fosse,Nantes,France,47.1755,-1.5659,15:00,11:00,camille.petit@example.com,https://picsum.photos/seed/hotel-nantes-loire/1200/800
Strasbourg Cathédrale,"Inspiré de l'établissement « City Résidence Strasbourg Access » (Strasbourg). Hôtel traditionnel alsacien près de la Petite France, petit-déjeuner choucroute et spa.",18 Rue des Frères,Strasbourg,France,48.59,7.7397,15:00,11:00,nathan.durand@example.com,https://picsum.photos/seed/hotel-strasbourg-cathedrale/1200/800
Lille Grand Place,"Inspiré de l'établissement « Ibis Budget » (Villeneuve-d'Ascq). Hôtel centre-ville face à la Grand Place, métro et gare Lille-Flandres à proximité.",2 Place Rihour,Lille,France,50.6434,3.1427,14:00,11:00,lea.moreau@example.com,https://picsum.photos/seed/hotel-lille-grand-place/1200/800
Montpellier Sud,"Inspiré de l'établissement « Auberge du Bérange » (Saint-Geniès-des-Mourgues). Résidence hôtelière avec piscine extérieure, proche plages et aéroport Montpellier-Méditerranée.",45 Avenue de la Mer,Montpellier,France,43.697,4.0139,15:00,11:00,arthur.simon@example.com,https://picsum.photos/seed/hotel-montpellier-sud/1200/800
