name,description,pricePerNight,maxGuests,bedrooms,bathrooms,beds,quantity,size,status,propertyName,imageUrls
Chambre Standard Nice,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",95,2,1,1,1,1,22,available,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-1/800/600;https://picsum.photos/seed/room-riviera-nice-1-b/800/600
Chambre Supérieure Nice,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",109,2,1,1,1,1,26,available,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-2/800/600
Chambre Deluxe Nice,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",128,2,1,1,1,1,30,available,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-3/800/600
Chambre Twin Nice,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",105,2,1,1,2,1,24,available,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-4/800/600;https://picsum.photos/seed/room-riviera-nice-4-b/800/600
Chambre Familiale Nice,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,138,4,2,1,2,1,38,available,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-5/800/600
Studio Affaires Nice,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",114,1,1,1,1,1,28,occupied,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-6/800/600
Junior Suite Nice,"Junior suite avec salon séparé, baignoire et vue sur la ville.",157,2,1,1,1,1,36,available,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-7/800/600;https://picsum.photos/seed/room-riviera-nice-7-b/800/600
Suite Panorama Nice,Suite avec balcon ou terrasse et vue panoramique sur les environs.,180,2,1,1,1,1,42,available,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-8/800/600
Suite Prestige Nice,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio. Accès spa et late check-out sur demande.,209,2,1,1,1,1,48,maintenance,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-9/800/600
Chambre Économique Nice,Option économique propre et fonctionnelle pour courts séjours.,71,1,1,1,1,1,16,available,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-10/800/600;https://picsum.photos/seed/room-riviera-nice-10-b/800/600
Chambre Accessible PMR Nice,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",100,2,1,1,1,1,25,available,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-11/800/600
Duplex Vue Nice,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",166,3,1,1,2,1,45,maintenance,Hôtel Riviera Nice,https://picsum.photos/seed/room-riviera-nice-12/800/600
Chambre Standard Lyon,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",88,2,1,1,1,1,22,available,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-1/800/600;https://picsum.photos/seed/room-grand-lyon-1-b/800/600
Chambre Supérieure Lyon,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",101,2,1,1,1,1,26,available,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-2/800/600
Chambre Deluxe Lyon,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",119,2,1,1,1,1,30,available,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-3/800/600
Chambre Twin Lyon,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",97,2,1,1,2,1,24,available,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-4/800/600;https://picsum.photos/seed/room-grand-lyon-4-b/800/600
Chambre Familiale Lyon,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,128,4,2,1,2,1,38,available,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-5/800/600
Studio Affaires Lyon,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",106,1,1,1,1,1,28,occupied,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-6/800/600
Junior Suite Lyon,"Junior suite avec salon séparé, baignoire et vue sur la ville.",145,2,1,1,1,1,36,available,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-7/800/600;https://picsum.photos/seed/room-grand-lyon-7-b/800/600
Suite Panorama Lyon,Suite avec balcon ou terrasse et vue panoramique sur les environs.,167,2,1,1,1,1,42,available,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-8/800/600
Suite Prestige Lyon,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio.,194,2,1,1,1,1,48,maintenance,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-9/800/600
Chambre Économique Lyon,Option économique propre et fonctionnelle pour courts séjours.,66,1,1,1,1,1,16,available,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-10/800/600;https://picsum.photos/seed/room-grand-lyon-10-b/800/600
Chambre Accessible PMR Lyon,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",92,2,1,1,1,1,25,available,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-11/800/600
Duplex Vue Lyon,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",154,3,1,1,2,1,45,maintenance,Le Grand Lyon,https://picsum.photos/seed/room-grand-lyon-12/800/600
Chambre Standard Bordeaux,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",75,2,1,1,1,1,22,available,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-1/800/600;https://picsum.photos/seed/room-maison-bordeaux-1-b/800/600
Chambre Supérieure Bordeaux,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",86,2,1,1,1,1,26,available,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-2/800/600
Chambre Deluxe Bordeaux,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",101,2,1,1,1,1,30,available,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-3/800/600
Chambre Twin Bordeaux,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",82,2,1,1,2,1,24,available,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-4/800/600;https://picsum.photos/seed/room-maison-bordeaux-4-b/800/600
Chambre Familiale Bordeaux,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,109,4,2,1,2,1,38,available,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-5/800/600
Studio Affaires Bordeaux,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",90,1,1,1,1,1,28,occupied,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-6/800/600
Junior Suite Bordeaux,"Junior suite avec salon séparé, baignoire et vue sur la ville.",124,2,1,1,1,1,36,available,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-7/800/600;https://picsum.photos/seed/room-maison-bordeaux-7-b/800/600
Suite Panorama Bordeaux,Suite avec balcon ou terrasse et vue panoramique sur les environs.,142,2,1,1,1,1,42,available,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-8/800/600
Suite Prestige Bordeaux,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio.,165,2,1,1,1,1,48,maintenance,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-9/800/600
Chambre Économique Bordeaux,Option économique propre et fonctionnelle pour courts séjours.,56,1,1,1,1,1,16,available,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-10/800/600;https://picsum.photos/seed/room-maison-bordeaux-10-b/800/600
Chambre Accessible PMR Bordeaux,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",79,2,1,1,1,1,25,available,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-11/800/600
Duplex Vue Bordeaux,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",131,3,1,1,2,1,45,maintenance,Maison Bordeaux,https://picsum.photos/seed/room-maison-bordeaux-12/800/600
Chambre Standard Paris,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",145,2,1,1,1,1,22,available,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-1/800/600;https://picsum.photos/seed/room-paris-etoile-1-b/800/600
Chambre Supérieure Paris,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",167,2,1,1,1,1,26,available,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-2/800/600
Chambre Deluxe Paris,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",196,2,1,1,1,1,30,available,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-3/800/600
Chambre Twin Paris,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",160,2,1,1,2,1,24,available,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-4/800/600;https://picsum.photos/seed/room-paris-etoile-4-b/800/600
Chambre Familiale Paris,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,210,4,2,1,2,1,38,available,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-5/800/600
Studio Affaires Paris,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",174,1,1,1,1,1,28,occupied,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-6/800/600
Junior Suite Paris,"Junior suite avec salon séparé, baignoire et vue sur la ville.",239,2,1,1,1,1,36,available,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-7/800/600;https://picsum.photos/seed/room-paris-etoile-7-b/800/600
Suite Panorama Paris,Suite avec balcon ou terrasse et vue panoramique sur les environs.,276,2,1,1,1,1,42,available,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-8/800/600
Suite Prestige Paris,Suite haut de gamme avec service de chambre 24h/24 et produits d'accueil bio. Accès spa et late check-out sur demande.,319,2,1,1,1,1,48,maintenance,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-9/800/600
Chambre Économique Paris,Option économique propre et fonctionnelle pour courts séjours.,109,1,1,1,1,1,16,available,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-10/800/600;https://picsum.photos/seed/room-paris-etoile-10-b/800/600
Chambre Accessible PMR Paris,"Chambre adaptée mobilité réduite, douche à l'italienne et barres d'appui.",152,2,1,1,1,1,25,available,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-11/800/600
Duplex Vue Paris,"Duplex avec mezzanine, salon et literie king size pour séjours prolongés.",254,3,1,1,2,1,45,maintenance,Paris Étoile,https://picsum.photos/seed/room-paris-etoile-12/800/600
Chambre Standard Marseille,"Chambre confortable avec literie premium, climatisation et Wi-Fi fibre.",98,2,1,1,1,1,22,available,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-1/800/600;https://picsum.photos/seed/room-marseille-vieux-port-1-b/800/600
Chambre Supérieure Marseille,"Espace optimisé avec bureau, machine Nespresso et salle de bain moderne.",113,2,1,1,1,1,26,available,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-2/800/600
Chambre Deluxe Marseille,"Chambre spacieuse avec vue partielle, minibar et peignoirs fournis.",132,2,1,1,1,1,30,available,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-3/800/600
Chambre Twin Marseille,"Deux lits simples idéale pour collègues ou amis, espace rangement généreux.",108,2,1,1,2,1,24,available,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-4/800/600;https://picsum.photos/seed/room-marseille-vieux-port-4-b/800/600
Chambre Familiale Marseille,Grande chambre pouvant accueillir jusqu'à quatre personnes avec canapé-lit.,142,4,2,1,2,1,38,available,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-5/800/600
Studio Affaires Marseille,"Studio avec coin bureau, prise USB-C et accès salle de réunion sur demande.",118,1,1,1,1,1,28,occupied,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-6/800/600
Junior Suite Marseille,"Junior suite avec salon séparé, baignoire et vue sur la ville.",162,2,1,1,1,1,36,available,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-7/800/600;https://picsum.photos/seed/room-marseille-vieux-port-7-b/800/600
Suite Panorama Marseille,Suite avec balcon ou terrasse et vue panoramique sur les environs.,186,2,1,1,1,1,42,available,Marseille Vieux-Port,https://picsum.photos/seed/room-marseille-vieux-port-8/800/600
